data_type,plink_version,time_sec,n_invididuals,n_phenotypes,n_snps_per_phenotype
PLINK text filenames,1.7,0.5907773971557617,10,1,1
PLINK text filenames,1.9,0.6459312438964844,10,1,1
PLINK text filenames,2.0,NA,10,1,1
PLINK binary filenames,1.7,0.8345463275909424,10,1,1
PLINK binary filenames,1.9,0.7276651859283447,10,1,1
PLINK binary filenames,2.0,NA,10,1,1
PLINK2 binary filenames,1.7,NA,10,1,1
PLINK2 binary filenames,1.9,NA,10,1,1
PLINK2 binary filenames,2.0,1.2339484691619873,10,1,1
PLINK text filenames,1.7,0.615976095199585,10,1,10
PLINK text filenames,1.9,0.6156978607177734,10,1,10
PLINK text filenames,2.0,NA,10,1,10
PLINK binary filenames,1.7,0.7946181297302246,10,1,10
PLINK binary filenames,1.9,1.0653772354125977,10,1,10
PLINK binary filenames,2.0,NA,10,1,10
PLINK2 binary filenames,1.7,NA,10,1,10
PLINK2 binary filenames,1.9,NA,10,1,10
PLINK2 binary filenames,2.0,1.167616605758667,10,1,10
PLINK text filenames,1.7,0.5988070964813232,10,1,100
PLINK text filenames,1.9,0.5886666774749756,10,1,100
PLINK text filenames,2.0,NA,10,1,100
PLINK binary filenames,1.7,0.7842693328857422,10,1,100
PLINK binary filenames,1.9,0.7638399600982666,10,1,100
PLINK binary filenames,2.0,NA,10,1,100
PLINK2 binary filenames,1.7,NA,10,1,100
PLINK2 binary filenames,1.9,NA,10,1,100
PLINK2 binary filenames,2.0,1.158449649810791,10,1,100
PLINK text filenames,1.7,0.6097393035888672,10,1,1000
PLINK text filenames,1.9,0.6385555267333984,10,1,1000
PLINK text filenames,2.0,NA,10,1,1000
PLINK binary filenames,1.7,0.7486975193023682,10,1,1000
PLINK binary filenames,1.9,0.7409236431121826,10,1,1000
PLINK binary filenames,2.0,NA,10,1,1000
PLINK2 binary filenames,1.7,NA,10,1,1000
PLINK2 binary filenames,1.9,NA,10,1,1000
PLINK2 binary filenames,2.0,1.0969929695129395,10,1,1000
PLINK text filenames,1.7,0.5983829498291016,10,10,1
PLINK text filenames,1.9,0.6008651256561279,10,10,1
PLINK text filenames,2.0,NA,10,10,1
PLINK binary filenames,1.7,0.7825498580932617,10,10,1
PLINK binary filenames,1.9,0.7440364360809326,10,10,1
PLINK binary filenames,2.0,NA,10,10,1
PLINK2 binary filenames,1.7,NA,10,10,1
PLINK2 binary filenames,1.9,NA,10,10,1
PLINK2 binary filenames,2.0,1.4120264053344727,10,10,1
PLINK text filenames,1.7,0.69591522216796875,10,10,10
PLINK text filenames,1.9,0.6718833446502686,10,10,10
PLINK text filenames,2.0,NA,10,10,10
PLINK binary filenames,1.7,0.7287170886993408,10,10,10
PLINK binary filenames,1.9,0.722527027130127,10,10,10
PLINK binary filenames,2.0,NA,10,10,10
PLINK2 binary filenames,1.7,NA,10,10,10
PLINK2 binary filenames,1.9,NA,10,10,10
PLINK2 binary filenames,2.0,1.1760659217834473,10,10,10
PLINK text filenames,1.7,0.7506809234619141,10,10,100
PLINK text filenames,1.9,0.6360797882080078,10,10,100
PLINK text filenames,2.0,NA,10,10,100
PLINK binary filenames,1.7,0.7656421661376953,10,10,100
PLINK binary filenames,1.9,0.9343950748443604,10,10,100
PLINK binary filenames,2.0,NA,10,10,100
PLINK2 binary filenames,1.7,NA,10,10,100
PLINK2 binary filenames,1.9,NA,10,10,100
PLINK2 binary filenames,2.0,1.1423182487487793,10,10,100
PLINK text filenames,1.7,0.9496879577636719,10,10,1000
PLINK text filenames,1.9,0.6791422367095947,10,10,1000
PLINK text filenames,2.0,NA,10,10,1000
PLINK binary filenames,1.7,1.0908057689666748,10,10,1000
PLINK binary filenames,1.9,1.0551636219024658,10,10,1000
PLINK binary filenames,2.0,NA,10,10,1000
PLINK2 binary filenames,1.7,NA,10,10,1000
PLINK2 binary filenames,1.9,NA,10,10,1000
PLINK2 binary filenames,2.0,1.574878454208374,10,10,1000
PLINK text filenames,1.7,0.6389520168304443,10,100,1
PLINK text filenames,1.9,0.5993778705596924,10,100,1
PLINK text filenames,2.0,NA,10,100,1
PLINK binary filenames,1.7,0.8004848957061768,10,100,1
PLINK binary filenames,1.9,0.7589523792266846,10,100,1
PLINK binary filenames,2.0,NA,10,100,1
PLINK2 binary filenames,1.7,NA,10,100,1
PLINK2 binary filenames,1.9,NA,10,100,1
PLINK2 binary filenames,2.0,1.1745715141296387,10,100,1
PLINK text filenames,1.7,0.8939940929412842,10,100,10
PLINK text filenames,1.9,0.6831438541412354,10,100,10
PLINK text filenames,2.0,NA,10,100,10
PLINK binary filenames,1.7,1.0601832866668701,10,100,10
PLINK binary filenames,1.9,0.826958417892456,10,100,10
PLINK binary filenames,2.0,NA,10,100,10
PLINK2 binary filenames,1.7,NA,10,100,10
PLINK2 binary filenames,1.9,NA,10,100,10
PLINK2 binary filenames,2.0,1.237227201461792,10,100,10
PLINK text filenames,1.7,3.228168487548828,10,100,100
PLINK text filenames,1.9,1.244805097579956,10,100,100
PLINK text filenames,2.0,NA,10,100,100
PLINK binary filenames,1.7,3.340449571609497,10,100,100
PLINK binary filenames,1.9,1.3863499164581299,10,100,100
PLINK binary filenames,2.0,NA,10,100,100
PLINK2 binary filenames,1.7,NA,10,100,100
PLINK2 binary filenames,1.9,NA,10,100,100
PLINK2 binary filenames,2.0,1.6385931968688965,10,100,100
PLINK text filenames,1.7,27.082464456558228,10,100,1000
PLINK text filenames,1.9,7.261784315109253,10,100,1000
PLINK text filenames,2.0,NA,10,100,1000
PLINK binary filenames,1.7,27.008491277694702,10,100,1000
PLINK binary filenames,1.9,7.0925726890563965,10,100,1000
PLINK binary filenames,2.0,NA,10,100,1000
PLINK2 binary filenames,1.7,NA,10,100,1000
PLINK2 binary filenames,1.9,NA,10,100,1000
PLINK2 binary filenames,2.0,5.904510259628296,10,100,1000
PLINK text filenames,1.7,0.5962159633636475,100,1,1
PLINK text filenames,1.9,0.6230919361114502,100,1,1
PLINK text filenames,2.0,NA,100,1,1
PLINK binary filenames,1.7,0.7482526302337646,100,1,1
PLINK binary filenames,1.9,0.7560651302337646,100,1,1
PLINK binary filenames,2.0,NA,100,1,1
PLINK2 binary filenames,1.7,NA,100,1,1
PLINK2 binary filenames,1.9,NA,100,1,1
PLINK2 binary filenames,2.0,1.2762620449066162,100,1,1
PLINK text filenames,1.7,0.5590157508850098,100,1,10
